id,brojPu,redBroj,nazivPu,naselje,zupanija
1,10000,1,Zagreb,Zagreb-Donji Grad,GRAD ZAGREB
2,10000,2,Zagreb,Zagreb-Gornji Grad- Medveščak,GRAD ZAGREB
3,10000,3,Zagreb,Zagreb-Trnje,GRAD ZAGREB
4,10000,4,Zagreb,Zagreb-Maksimir,GRAD ZAGREB
5,10135,5,Zagreb,Zagreb-Pešćenica-Žitnjak,GRAD ZAGREB
6,10000,6,Zagreb,Zagreb-Črnomerec,GRAD ZAGREB
7,10000,7,Zagreb,Zagreb-Podsljeme,GRAD ZAGREB
8,10000,8,Zagreb,Sljeme (Medvednica-Tomislavac),GRAD ZAGREB
9,10010,9,Zagreb-Sloboština,Buzin,GRAD ZAGREB
10,10010,10,Zagreb-Sloboština,Veliko Polje,GRAD ZAGREB
11,10010,11,Zagreb-Sloboština,Zagreb-Novi Zagreb-istok,GRAD ZAGREB
12,10010,12,Zagreb-Sloboština,Velika Mlaka,GRAD ZAGREB
13,10020,13,Zagreb-Novi Zagreb,Botinec,GRAD ZAGREB
14,10020,14,Zagreb-Novi Zagreb,Donji Čehi,GRAD ZAGREB
15,10020,15,Zagreb-Novi Zagreb,Gornji Čehi,GRAD ZAGREB
16,10020,16,Zagreb-Novi Zagreb,Hrašće Turopoljsko,GRAD ZAGREB
17,10020,17,Zagreb-Novi Zagreb,Mala Mlaka,GRAD ZAGREB
18,10020,18,Zagreb-Novi Zagreb,Odra,GRAD ZAGREB
19,10020,19,Zagreb-Novi Zagreb,Odranski Obrež,GRAD ZAGREB
20,10020,20,Zagreb-Novi Zagreb,Strmec,GRAD ZAGREB
21,10020,21,Zagreb-Novi Zagreb,Zagreb-Novi Zagreb-zapad,GRAD ZAGREB
22,10040,22,Zagreb-Dubrava,Zagreb-Gornja Dubrava,GRAD ZAGREB
23,10040,23,Zagreb-Dubrava,Zagreb-Donja Dubrava,GRAD ZAGREB
24,10090,24,Zagreb-Susedgrad,Zagreb-Stenjevec,GRAD ZAGREB
25,10090,25,Zagreb-Susedgrad,Zagreb-Podsused-Vrapče,GRAD ZAGREB
26,10110,26,Zagreb,Zagreb-Trešnjevka-sjever,GRAD ZAGREB
27,10110,27,Zagreb,Zagreb-Trešnjevka-jug,GRAD ZAGREB
28,10250,28,Lučko,Ježdovec,GRAD ZAGREB
29,10250,29,Lučko,Lučko,GRAD ZAGREB
30,10255,30,Gornji Stupnik,Donji Stupnik,ZAGREBAČKA
31,10255,31,Gornji Stupnik,Gornji Stupnik,ZAGREBAČKA
32,10255,32,Gornji Stupnik,Stupnički Obrež,ZAGREBAČKA
33,10257,33,Brezovica,Demerje,GRAD ZAGREB
34,10257,34,Brezovica,Hrvatski Leskovac,GRAD ZAGREB
35,10257,35,Brezovica,Donji Dragonožec,GRAD ZAGREB
36,10257,36,Brezovica,Donji Trpuci,GRAD ZAGREB
37,10257,37,Brezovica,Gornji Dragonožec,GRAD ZAGREB
38,10257,38,Brezovica,Gornji Trpuci,GRAD ZAGREB
39,10257,39,Brezovica,Havidić Selo,GRAD ZAGREB
40,10257,40,Brezovica,Lipnica,GRAD ZAGREB
41,10257,41,Brezovica,Bukovčak,GRAD ZAGREB
42,10257,42,Brezovica,Brebernica,GRAD ZAGREB
43,10257,43,Brezovica,Brezovica,GRAD ZAGREB
44,10257,44,Brezovica,Desprim,GRAD ZAGREB
45,10257,45,Brezovica,Drežnik Brezovički,GRAD ZAGREB
46,10257,46,Brezovica,Goli Breg,GRAD ZAGREB
47,10257,47,Brezovica,Grančari,GRAD ZAGREB
48,10257,48,Brezovica,Hudi Bitek,GRAD ZAGREB
49,10257,49,Brezovica,Kupinečki Kraljevec,GRAD ZAGREB
50,10257,50,Brezovica,Starjak,GRAD ZAGREB
51,10257,51,Brezovica,Zadvorsko,GRAD ZAGREB
52,10290,52,Zaprešić,Ivanec Bistranski,GRAD ZAGREB
53,10290,53,Zaprešić,Lužnica,GRAD ZAGREB
54,10290,54,Zaprešić,Šibice,GRAD ZAGREB
55,10290,55,Zaprešić,Zaprešić,GRAD ZAGREB
56,10290,56,Zaprešić,Pojatno,GRAD ZAGREB
57,10290,57,Zaprešić,Bregovljana,GRAD ZAGREB
58,10290,58,Zaprešić,Donja Pušća,GRAD ZAGREB
59,10290,59,Zaprešić,Dubrava Pušćanska,GRAD ZAGREB
60,10290,60,Zaprešić,Gornja Pušća,GRAD ZAGREB
61,10290,61,Zaprešić,Hrebine,GRAD ZAGREB
62,10290,62,Zaprešić,Hruševec Pušćanski,GRAD ZAGREB
63,10290,63,Zaprešić,Marija Magdalena,GRAD ZAGREB
64,10290,64,Zaprešić,Žlebec Pušćanski,GRAD ZAGREB
65,10290,65,Zaprešić,Jablanovec,GRAD ZAGREB
66,10291,66,Prigorje Brdovečko,Brdovec,ZAGREBAČKA
67,10291,67,Prigorje Brdovečko,Drenje Brdovečko,ZAGREBAČKA
68,10291,68,Prigorje Brdovečko,Javorje,ZAGREBAČKA
69,10291,69,Prigorje Brdovečko,Prigorje Brdovečko,ZAGREBAČKA
70,10291,70,Prigorje Brdovečko,Prudnice,ZAGREBAČKA
71,10291,71,Prigorje Brdovečko,Savski Marof,ZAGREBAČKA
72,10291,72,Prigorje Brdovečko,Zdenci Brdovečki,ZAGREBAČKA
73,10291,73,Prigorje Brdovečko,Bijela Gorica,ZAGREBAČKA
74,10291,74,Prigorje Brdovečko,Celine Goričke,ZAGREBAČKA
75,10291,75,Prigorje Brdovečko,Hrastina,ZAGREBAČKA
76,10291,76,Prigorje Brdovečko,Kraj Donji,ZAGREBAČKA
77,10291,77,Prigorje Brdovečko,Kraj Gornji,ZAGREBAČKA
78,10291,78,Prigorje Brdovečko,Marija Gorica,ZAGREBAČKA
